BHID,Y,X,Z,Depth
BH1,4988,8735,2005,328
BH2,4913.5,8890.44,1976.1,476
BH3,5074.5,8839.25,1913.6,262.5
BH4,4486,9140,2007,305
BH5,4707.5,8993.63,1950.9,253.6
BH6,5310.5,8869.25,1932.6,285
BH7,5542.5,8817.93,1967.19,322.45
BH8,4699,8818.25,2018,264
BH9,5711.5,8812.88,1995.1,132
BH10,5312.5,9085.56,1778.09,187
BH13,5523.5,8235.5,2045.06,370
BH15,5318,8971.5,1865,190
BH18,5195,8909.31,1884.8,302
BH19,4995.5,8916.75,1937.5,328
BH21,5393,9092.69,1764.92,222
BH22,5594.5,8712.88,2053.46,266
BH23,5203.5,9012.13,1823.9,302
BH25,4795.5,8722.13,2081.1,450
BH26,4811.5,8822.5,2003.8,406
BH27,5009,8611.13,2095.3,462
BH28,4652,8741.13,2085.6,412
BH29,5358.5,9028,1815.8,220
BH30,4815.5,8913.69,1939.6,332
BH31,5112.5,8919.5,1868.6,278
BH32,5609.5,8810.06,1977.7,380
BH33,5207,8625.5,2094.7,524
BH34,5402.5,8615.25,2100.6,516
BH35,4586.5,8839.38,2077.3,446
BH37,4493,9031.5,2044.06,450
BH38,5101.5,9017.44,1835.2,216
BH39,5298,8614.69,2094.7,496
BH40,4620.5,8981.56,1999.1,400
BH41,4638,9077.25,1929.4,354
BH42,4799,8413.81,2246.55,514
BH43,4379,9195.56,2026.5,402
BH44,4590,8924.56,2038.9,504
BH45,4793,8318,2261.25,514
BH46,4518.5,9210.56,1955.7,350
BH47,4996,8232.94,2312.2,524
BH48,5497,8711,2039.28,326
BH49,5589,8911,1894,320
BH50,5399,8816,1980.04,374
BH51,4408,9123.31,2037.32,450
BH52,4494,8926.25,2090.92,486
BH53,5300,8720,2013,402
BH54,5400,8920,1900,281.5
BH55,4293,9113.75,2074.26,358
BH56,5199,8721.5,2024.86,427.3
BH57,5402.5,8722.19,2042.66,450.3
BH58,4796.5,9020.81,1881.15,284.6
BH59,4891,9017.25,1884.76,293.75
BH60,4423.72,8977.28,2089.31,444
BH61,4598,8421.44,2246.39,621
BH62,5000,9020,1865,272
BH63,4401.5,9328.13,1960.11,360
BH64,4600,9220,1900,214
BH65,5102,8716,1995,394
BH67,4947.00,7899,2344,450
BH68,4802,8118.19,2298.7,624
BH69,4800.5,8495,2213.7,514
BH71,4899.5,8318,2282.35,646
BH72,5217.5,8417.75,2220.2,618
BH73,4990.5,8428,2205.64,554
BH74,4601,8617.5,2173.6,536.2
BH75,5146.50,7999,2310,320
BH76,4900,8520,2185,468
BH77,4900.5,8622.13,2116.35,476
BH78,4801.5,7918,2332.06,696
BH79,4699.5,8221.75,2283.8,530
BH81,4800,8219.5,2283.2,600
BH82,4801,8618.5,2127.28,488
BH83,4498,8718,2175,604
BH85,5202,8817,1958.88,436
BH86,4701,8519,2212.2,561
BH87,4704,8610,2160.56,550
BH88,4895,8217.25,2301.35,690
BH89,4584,8718.63,2128.91,422
BH91,4900.5,8422.19,2231.55,654
BH92,4397,8818,2150.96,502
BH94,4301.5,8925.13,2111.5,358
BH95,5211,8317,2256.2,628
BH96,5003,8320,2271.6,516
BH97,5096,8513.13,2126.48,495
BH99,5205,8525.81,2153.53,552
BH100,4989.5,8528,2149.68,462
BH101,4297,9312,1958,244
BH103,5399.5,8519,2159.78,550
BH104,5302,8522.25,2150.98,530
BH105,4511,9322,1912,294.4
BH106,4599,8519.69,2218.8,636
BH108,4698.5,8424.19,2244.12,636
BH109,5498.53,8903.05,1896.83,296
BH116,4875.8,8788.7,2020.82,505
BH123,5004,8029,2345.03,396
BH124,5211.63,8093.32,2256.39,332
BH125,5001.4,7828.03,2340.13,400
BH126,5119.89,8320.48,2259.2,312
BH127,4403.3,8622.45,2208.1,350
BH128,4505.3,8523.4,2243.55,455
BH129,4701.17,8024.57,2305.9,520
BH130,4499.26,8125.73,2335.52,300
BH131,4706.71,8128.69,2276.88,500
BH132,5412.2,8311.5,2151.82,313
BH133,4689.52,8927.9,1988.8,264
BH134,5319.53,8330.18,2210.39,440
BH135,4612.54,8220.22,2275.89,228
BH137,5104.8,8420.65,2192.42,452
BH138,4702.3,8321.5,2251.82,473
BH140,5111.01,8610.75,2064.98,506
BH141,4509.51,8608.68,2212.91,455
BH143,4500,8821.54,2126.04,524
BH144,4398.88,8894.06,2117.6,448.5
BH145,4597.03,8319.02,2250.2,484
BH146,4397.2,8717,2188.71,421
BH147,5298.28,8424.3,2189.5,500
BH149,4799.25,8021.85,2292.1,550
BH150,5406.13,8422.35,2184.7,550
BH152,4488.31,8411.76,2274.21,549
BH153,4915.94,8952.09,1935.99,500
BH154,4900.95,8121.4,2306.21,577
BH156,5004.09,8462.3,2180.01,500
