BHID,FROM,TO,LITH,NLITH,DENSITY
BH1,0,58,L,0,2.55
BH1,58,170,S,1,2.75
BH1,170,328,H,2,2.65
BH10,0,30,L,0,2.55
BH10,30,108,S,1,2.75
BH10,108,187,H,2,2.65
BH100,0,72,L,0,2.55
BH100,72,136,S,1,2.75
BH100,136,462,H,2,2.65
BH101,0,52,L,0,2.55
BH101,52,78,S,1,2.75
BH101,78,244,H,2,2.65
BH103,0,47,L,0,2.55
BH103,47,97,S,1,2.75
BH103,97,550,H,2,2.65
BH104,0,62,L,0,2.55
BH104,62,194,S,1,2.75
BH104,194,530,H,2,2.65
BH105,0,62,L,0,2.55
BH105,62,80.5,S,1,2.75
BH105,80.5,294.4,H,2,2.65
BH106,0,146,L,0,2.55
BH106,146,212,S,1,2.75
BH106,212,636,H,2,2.65
BH108,0,93.5,L,0,2.55
BH108,93.5,636,H,2,2.65
BH109,0,10,L,0,2.55
BH109,10,106,S,1,2.75
BH109,106,296,H,2,2.65
BH116,0,18,L,0,2.55
BH116,18,116,S,1,2.75
BH116,116,505,H,2,2.65
BH123,0,85,L,0,2.55
BH123,85,114,S,1,2.75
BH123,114,396,H,2,2.65
BH125,0,11,L,0,2.55
BH125,11,70,S,1,2.75
BH125,70,400,H,2,2.65
BH126,0,66,L,0,2.55
BH126,66,164,S,1,2.75
BH126,164,312,H,2,2.65
BH127,0,318,L,0,2.55
BH127,318,350,H,2,2.65
BH128,0,124,L,0,2.55
BH128,124,455,H,2,2.65
BH129,0,226,L,0,2.55
BH129,226,520,H,2,2.65
BH13,0,54,L,0,2.55
BH13,54,90,S,1,2.75
BH13,90,370,H,2,2.65
BH130,0,300,L,0,2.55
BH131,0,110,L,0,2.55
BH131,110,500,H,2,2.65
BH132,0,77,L,0,2.55
BH132,77,175,S,1,2.75
BH132,175,313,H,2,2.65
BH133,0,20,L,0,2.55
BH133,20,120,S,1,2.75
BH133,120,264,H,2,2.65
BH134,0,52,L,0,2.55
BH134,52,196,S,1,2.75
BH134,196,440,H,2,2.65
BH135,0,80,L,0,2.55
BH135,80,136,S,1,2.75
BH135,136,228,H,2,2.65
BH137,0,52,L,0,2.55
BH137,52,179,S,1,2.75
BH137,179,452,H,2,2.65
BH138,0,80,L,0,2.55
BH138,80,141.5,S,1,2.75
BH138,141.5,473,H,2,2.65
BH140,0,91.1,L,0,2.55
BH140,91.1,115,S,1,2.75
BH140,115,506,H,2,2.65
BH141,0,124,L,0,2.55
BH141,124,455,H,2,2.65
BH143,0,122,L,0,2.55
BH143,122,170.5,S,1,2.75
BH143,170.5,524,H,2,2.65
BH144,0,99.3,L,0,2.55
BH144,99.3,448.5,H,2,2.65
BH145,0,163,L,0,2.55
BH145,163,484,H,2,2.65
BH146,0,196,L,0,2.55
BH146,196,421,H,2,2.65
BH147,0,14,L,0,2.55
BH147,14,175,S,1,2.75
BH147,175,500,H,2,2.65
BH149,0,113,L,0,2.55
BH149,113,550,H,2,2.65
BH15,0,28,L,0,2.55
BH15,28,132,S,1,2.75
BH15,132,190,H,2,2.65
BH150,0,47,L,0,2.55
BH150,47,97,S,1,2.75
BH150,97,550,H,2,2.65
BH152,0,382,L,0,2.55
BH152,382,549,H,2,2.65
BH153,0,57,L,0,2.55
BH153,57,90,S,1,2.75
BH153,90,500,H,2,2.65
BH154,0,74,L,0,2.55
BH154,74,205,S,1,2.75
BH154,205,577,H,2,2.65
BH156,0,156,L,0,2.55
BH156,156,178,S,1,2.75
BH156,178,500,H,2,2.65
BH18,0,56,L,0,2.55
BH18,56,302,H,2,2.65
BH19,0,58,L,0,2.55
BH19,58,170,S,1,2.75
BH19,170,328,H,2,2.65
BH2,0,78,L,0,2.55
BH2,78,182,S,1,2.75
BH2,182,476,H,2,2.65
BH21,0,26,L,0,2.55
BH21,26,222,H,2,2.65
BH22,0,100,L,0,2.55
BH22,100,266,H,2,2.65
BH23,0,56,L,0,2.55
BH23,56,302,H,2,2.65
BH25,0,48,L,0,2.55
BH25,48,124,S,1,2.75
BH25,124,450,H,2,2.65
BH26,0,60,L,0,2.55
BH26,60,172,S,1,2.75
BH26,172,406,H,2,2.65
BH27,0,72,L,0,2.55
BH27,72,136,S,1,2.75
BH27,136,462,H,2,2.65
BH28,0,22,L,0,2.55
BH28,22,138,S,1,2.75
BH28,138,412,H,2,2.65
BH29,0,22,L,0,2.55
BH29,22,76,S,1,2.75
BH29,76,220,H,2,2.65
BH3,0,10,L,0,2.55
BH3,10,112.5,S,1,2.75
BH3,112.5,262.5,H,2,2.65
BH30,0,8,L,0,2.55
BH30,8,64,S,1,2.75
BH30,64,332,H,2,2.65
BH31,0,6,L,0,2.55
BH31,6,88,S,1,2.75
BH31,88,278,H,2,2.65
BH32,0,18,L,0,2.55
BH32,18,58,S,1,2.75
BH32,58,380,H,2,2.65
BH33,0,120,L,0,2.55
BH33,120,200,S,1,2.75
BH33,200,524,H,2,2.65
BH34,0,18,L,0,2.55
BH34,18,64,S,1,2.75
BH34,64,516,H,2,2.65
BH35,0,66,L,0,2.55
BH35,66,142,S,1,2.75
BH35,142,446,H,2,2.65
BH37,0,66,L,0,2.55
BH37,66,141.6,S,1,2.75
BH37,141.6,450,H,2,2.65
BH38,0,24,L,0,2.55
BH38,24,60,S,1,2.75
BH38,60,216,H,2,2.65
BH39,0,88,L,0,2.55
BH39,88,168,S,1,2.75
BH39,168,496,H,2,2.65
BH4,0,60,L,0,2.55
BH4,60,175,S,1,2.75
BH4,175,305,H,2,2.65
BH40,0,66,L,0,2.55
BH40,66,90,S,1,2.75
BH40,90,400,H,2,2.65
BH41,0,64,L,0,2.55
BH41,64,80,S,1,2.75
BH41,80,354,H,2,2.65
BH42,0,64,L,0,2.55
BH42,64,192,S,1,2.75
BH42,192,514,H,2,2.65
BH43,0,80,L,0,2.55
BH43,80,402,H,2,2.65
BH44,0,50,L,0,2.55
BH44,50,114,S,1,2.75
BH44,114,504,H,2,2.65
BH45,0,64,L,0,2.55
BH45,64,192,S,1,2.75
BH45,192,514,H,2,2.65
BH46,0,38,L,0,2.55
BH46,38,92,S,1,2.75
BH46,92,350,H,2,2.65
BH47,0,140,L,0,2.55
BH47,140,168,S,1,2.75
BH47,168,524,H,2,2.65
BH48,0,170,L,0,2.55
BH48,170,326,H,2,2.65
BH49,0,46,L,0,2.55
BH49,46,130,S,1,2.75
BH49,130,320,H,2,2.65
BH5,0,62,L,0,2.55
BH5,62,98,S,1,2.75
BH5,98,253.6,H,2,2.65
BH50,0,70,L,0,2.55
BH50,70,172,S,1,2.75
BH50,172,374,H,2,2.65
BH51,0,64,L,0,2.55
BH51,64,104,S,1,2.75
BH51,104,450,H,2,2.65
BH52,0,88,L,0,2.55
BH52,88,154,S,1,2.75
BH52,154,486,H,2,2.65
BH53,0,70,L,0,2.55
BH53,70,142,S,1,2.75
BH53,142,402,H,2,2.65
BH54,0,56,L,0,2.55
BH54,56,92,S,1,2.75
BH54,92,281.5,H,2,2.65
BH55,0,120,L,0,2.55
BH55,120,358,H,2,2.65
BH56,0,76,L,0,2.55
BH56,76,128,S,1,2.75
BH56,128,427.3,H,2,2.65
BH57,0,123.7,L,0,2.55
BH57,123.7,450.3,H,2,2.65
BH58,0,48,L,0,2.55
BH58,48,178,S,1,2.75
BH58,178,284.6,H,2,2.65
BH59,0,62,L,0,2.55
BH59,62,76,S,1,2.75
BH59,76,293.75,H,2,2.65
BH6,0,82,L,0,2.55
BH6,82,146,S,1,2.75
BH6,146,285,H,2,2.65
BH60,0,112,L,0,2.55
BH60,112,155,S,1,2.75
BH60,155,444,H,2,2.65
BH61,0,100,L,0,2.55
BH61,100,122,S,1,2.75
BH61,122,621,H,2,2.65
BH62,0,62.4,L,0,2.55
BH62,62.4,68,S,1,2.75
BH62,68,272,H,2,2.65
BH63,0,60,L,0,2.55
BH63,60,360,H,2,2.65
BH64,0,36,L,0,2.55
BH64,36,214,H,2,2.65
BH65,0,28,L,0,2.55
BH65,28,104,S,1,2.75
