BHID,Depth,dip,asi
BH1,328,90,0
BH2,476,90,0
BH3,262.5,90,0
BH4,305,90,0
BH5,253.6,90,0
BH6,285,90,0
BH7,322.45,90,0
BH8,264,90,0
BH9,132,90,0
BH10,187,90,0
BH13,370,90,0
BH15,190,90,0
BH18,302,90,0
BH19,328,90,0
BH21,222,90,0
BH22,266,90,0
BH23,302,90,0
BH25,450,90,0
BH26,406,90,0
BH27,462,90,0
BH28,412,90,0
BH29,220,90,0
BH30,332,90,0
BH31,278,90,0
BH32,380,90,0
BH33,524,90,0
BH34,516,90,0
BH35,446,90,0
BH37,450,90,0
BH38,216,90,0
BH39,496,90,0
BH40,400,90,0
BH41,354,90,0
BH42,514,90,0
BH43,402,90,0
BH44,504,90,0
BH45,514,90,0
BH46,350,90,0
BH47,524,90,0
BH48,326,90,0
BH49,320,90,0
BH50,374,90,0
BH51,450,90,0
BH52,486,90,0
BH53,402,90,0
BH54,281.5,90,0
BH55,358,90,0
BH56,427.3,90,0
BH57,450.3,90,0
BH58,284.6,90,0
BH59,293.75,90,0
BH60,444,90,0
BH61,621,90,0
BH62,272,90,0
BH63,360,90,0
BH64,214,90,0
BH65,394,90,0
BH67,450,90,0
BH68,624,90,0
BH69,514,90,0
BH71,646,90,0
BH72,618,90,0
BH73,554,90,0
BH74,536.2,90,0
BH75,320,90,0
BH76,468,90,0
BH77,476,90,0
BH78,696,90,0
BH79,530,90,0
BH81,600,90,0
BH82,488,90,0
BH83,604,90,0
BH85,436,90,0
BH86,561,90,0
BH87,550,90,0
BH88,690,90,0
BH89,422,90,0
BH91,654,90,0
BH92,502,90,0
BH94,358,90,0
BH95,628,90,0
BH96,516,90,0
BH97,495,90,0
BH99,552,90,0
BH100,462,90,0
BH101,244,90,0
BH103,550,90,0
BH104,530,90,0
BH105,294.4,90,0
BH106,636,90,0
BH108,636,90,0
BH109,296,90,0
BH116,505,90,0
BH123,396,90,0
BH124,332,90,0
BH125,400,90,0
BH126,312,90,0
BH127,350,90,0
BH128,455,90,0
BH129,520,90,0
BH130,300,90,0
BH131,500,90,0
BH132,313,90,0
BH133,264,90,0
BH134,440,90,0
BH135,228,90,0
BH137,452,90,0
BH138,473,90,0
BH140,506,90,0
BH141,455,90,0
BH143,524,90,0
BH144,448.5,90,0
BH145,484,90,0
BH146,421,90,0
BH147,500,90,0
BH149,550,90,0
BH150,550,90,0
BH152,549,90,0
BH153,500,90,0
BH154,577,90,0
BH156,500,90,0
